Epoch: 1, train loss: 5.020439386367798, train acc: 0.02814094387755102, val loss: 4.340607643127441, val acc: 0.0
Epoch: 2, train loss: 4.437201897303264, train acc: 0.016927083333333332, val loss: 4.164246559143066, val acc: 0.012987012987012988
Epoch: 3, train loss: 4.241863648096721, train acc: 0.006510416666666667, val loss: 4.011429786682129, val acc: 0.012987012987012988
Epoch: 4, train loss: 4.117207129796346, train acc: 0.022932610544217687, val loss: 4.028850078582764, val acc: 0.03896103896103896
Epoch: 5, train loss: 4.059772650400798, train acc: 0.031542304421768703, val loss: 4.140530109405518, val acc: 0.0
Epoch: 6, train loss: 4.028974016507466, train acc: 0.039354804421768703, val loss: 4.003459930419922, val acc: 0.0
Epoch: 7, train loss: 4.036832253138225, train acc: 0.022932610544217687, val loss: 4.1073832511901855, val acc: 0.012987012987012988
Epoch: 8, train loss: 4.0228095054626465, train acc: 0.03284438775510204, val loss: 3.9536678791046143, val acc: 0.03896103896103896
Epoch: 9, train loss: 3.9831480582555137, train acc: 0.04065688775510204, val loss: 3.9227850437164307, val acc: 0.03896103896103896
Epoch: 10, train loss: 3.983195145924886, train acc: 0.037547831632653066, val loss: 4.0415825843811035, val acc: 0.025974025974025976
Epoch: 11, train loss: 3.946411609649658, train acc: 0.033349277210884355, val loss: 3.9594995975494385, val acc: 0.0
Epoch: 12, train loss: 3.986578901608785, train acc: 0.029443027210884352, val loss: 3.9731953144073486, val acc: 0.03896103896103896
Epoch: 13, train loss: 3.9100691874821982, train acc: 0.03675063775510204, val loss: 4.0220112800598145, val acc: 0.0
Epoch: 14, train loss: 3.9564568599065146, train acc: 0.021630527210884352, val loss: 3.9048197269439697, val acc: 0.025974025974025976
Epoch: 15, train loss: 3.9419246514638266, train acc: 0.02893813775510204, val loss: 3.909456729888916, val acc: 0.0
Epoch: 16, train loss: 3.91579536596934, train acc: 0.0234375, val loss: 3.9717767238616943, val acc: 0.025974025974025976
Epoch: 17, train loss: 3.9263517459233603, train acc: 0.042756164965986394, val loss: 3.9317610263824463, val acc: 0.0
Epoch: 18, train loss: 3.9103447993596396, train acc: 0.04065688775510204, val loss: 3.9429056644439697, val acc: 0.025974025974025976
Epoch: 19, train loss: 3.916652242342631, train acc: 0.04065688775510204, val loss: 3.8823788166046143, val acc: 0.0
